"Rank","Player","Team","Positions","Best","Worst","Avg","Std Dev"
"183","Marvin Bagley III","DET","PF,C","134","223","176.4","22.4"
"184","Enes Freedom","FA","C FA","155","248","187.9","28.0"
"185","Davis Bertans","DAL","PF,C DTD","141","214","180.1","19.5"
"186","Goran Dragic","BKN","PG,SG DTD","176","207","190.5","9.1"
"187","Coby White","CHI","PG,SG","131","235","192.3","24.1"
"188","Serge Ibaka","MIL","PF,C","88","327","196.0","53.8"
"189","Blake Griffin","BKN","PF,C DTD","118","221","194.7","31.5"
"190","Kevin Love","CLE","PF,C","93","298","196.2","42.6"
"191","Cameron Johnson","PHO","SF,PF","134","226","196.3","24.7"
"192","Alec Burks","NYK","SG,SF","183","223","197.3","11.6"
"193","Hassan Whiteside","UTH","PF,C DTD","162","254","197.9","21.4"
"194","Cam Reddish","NYK","SG,SF OUT","123","244","199.8","34.5"
"195","Cody Zeller","FA","C FA","122","240","200.6","30.5"
"196","Victor Oladipo","MIA","SG,SF DTD","145","293","191.5","40.8"
"197","Jamal Murray","DEN","PG,SG OUT","109","225","182.4","33.1"
"198","Darius Bazley","OKC","SF,PF DTD","144","232","183.7","22.8"
"199","Moses Brown","CLE","C","167","251","194.5","24.2"
"200","Markelle Fultz","ORL","PG,SG DTD","174","267","199.2","27.4"
"201","Juan Toscano-Anderson","GSW","SF,PF DTD","187","220","199.3","10.3"
"202","Kendrick Nunn","LAL","PG,SG OUT","183","228","208.2","11.3"
"203","LaMarcus Aldridge","BKN","PF,C","125","249","209.0","35.9"
"204","Tomas Satoransky","WAS","PG,SG","193","242","209.1","15.3"
"205","Scottie Barnes","TOR","SF,PF DTD","122","250","164.3","40.4"
"206","Immanuel Quickley","NYK","PG","169","217","192.7","17.2"
"207","Dwight Howard","LAL","C DTD","172","248","211.7","17.0"
"208","Rudy Gay","UTH","SF,PF","196","233","214.3","11.9"
"209","Carmelo Anthony","LAL","SF,PF DTD","180","229","206.7","14.4"
"210","Paul Millsap","PHI","PF,C","185","236","209.4","14.4"
"211","Alperen Sengun","HOU","C","105","219","177.1","43.6"
"212","Lonnie Walker IV","SAS","SG,SF DTD","179","234","212.5","14.1"
"213","Nicolas Batum","LAC","SF,PF,SG","85","260","179.5","54.0"
"214","Jeremy Lamb","SAC","SG,SF DTD","197","245","220.4","17.2"
"215","Malachi Flynn","TOR","PG","168","237","208.5","19.5"
"216","Delon Wright","ATL","PG,SG","173","250","217.1","19.8"
"217","Cameron Payne","PHO","PG,SG","138","221","185.8","27.4"
"218","Precious Achiuwa","TOR","SF,PF,C","133","261","199.4","42.2"
"219","Eric Gordon","HOU","SG,SF DTD","174","251","225.9","24.4"
"220","Terance Mann","LAC","SF,SG","124","226","188.9","32.3"
"221","Maxi Kleber","DAL","PF,C DTD","138","257","220.4","32.2"
"222","Tristan Thompson","CHI","PF,C","134","294","228.8","34.6"
"223","Luke Kennard","LAC","SG,SF DTD","185","249","223.5","18.2"
"224","Theo Maledon","OKC","PG","187","253","216.2","20.0"
"225","Naz Reid","MIN","C DTD","105","228","182.1","38.9"
"226","Josh Hart","POR","SG,SF DTD","153","266","198.5","37.6"
"227","KJ Martin Jr.","HOU","SF,PF","143","235","199.9","30.0"
"228","Jaxson Hayes","NOR","C","210","251","234.2","10.4"
"229","Reggie Bullock","DAL","SG,SF DTD","152","231","203.0","28.2"
"230","Dewayne Dedmon","MIA","C DTD","187","257","235.8","18.9"
"231","Dwight Powell","DAL","PF,C","136","248","226.0","31.3"
"232","DeAndre Jordan","PHI","C","214","278","232.9","16.7"
"233","P.J. Tucker","MIA","PF,C,SF DTD","208","247","233.7","10.0"
"234","Patrick Beverley","MIN","PG,SG DTD","207","249","236.0","13.0"
"235","Josh Jackson","SAC","SG,SF","200","286","222.4","25.9"
"236","Lou Williams","ATL","PG,SG DTD","199","234","213.0","12.6"
"237","Jalen Brunson","DAL","PG,SG DTD","168","247","201.6","29.6"
"238","Kevon Looney","GSW","PF,C DTD","213","331","236.9","32.5"
"239","Dario Saric","PHO","PF,C OUT","202","241","219.3","14.4"
"240","Nemanja Bjelica","GSW","PF DTD","183","281","229.6","25.9"
"241","Doug McDermott","SAS","SF,PF DTD","165","244","194.8","26.5"
"242","Jalen McDaniels","CHA","PF,C DTD","196","239","221.9","13.9"
"243","Elfrid Payton","PHO","PG","211","245","225.6","9.6"
"244","Obi Toppin","NYK","SF,PF DTD","205","268","234.3","16.3"
"245","Shake Milton","PHI","PG,SG DTD","174","262","216.9","29.4"
"246","Jonathan Kuminga","GSW","SF,PF","216","243","228.9","10.1"
"247","Moses Moody","GSW","SF,SG","222","292","238.0","20.4"
